Air Force,26,0.769,31,19.8,-1.84,0,0.99,0.11,0.96,0.992567535,0.115,0.5,0.59,0.49,0.5957
Akron,26,0.167,19.8,39.5,-4.41,0,-1.01,-1.92,-2.52,1.20049992,0.257,-0.5,0.85,0.73,0.5098
Alabama,1,0.867,39.9,20.1,5.69,1,1.7,1,1.64,1.578511172,0.095,0.3,0.33,0.77,0.5069
Appalachian State,26,0.714,34.5,22.1,-2.43,0,0.29,0.28,0.85,1.437156353,0.119,-0.3,0.67,0.88,0.5444
Arizona,26,0.083,17.2,31.4,1.44,0,-0.46,-0.51,-1.49,1.335703497,0.211,-1.5,0.75,0.77,0.5181
Arizona State,26,0.615,28.4,20.8,-0.74,25,0.36,0.37,0.9,1.586244191,0.089,-0.3,0.86,0.82,0.4721
Arkansas,21,0.692,30.9,22.9,4.62,0,0.75,0.56,0.65,1.561817616,0.15,0.6,0.7,0.85,0.4845
Arkansas State,26,0.167,25.3,38.6,-3.97,0,-0.5,-1.25,-1.81,1.18621646,0.256,-0.5,0.48,0.75,0.4671
Army,26,0.692,32.8,22.3,-1.53,0,0.68,-0.09,-0.38,1.129673444,0.139,0.6,0.79,0.76,0.5587
Auburn,26,0.462,28.3,21.8,5.73,0,0.63,0.51,-0.01,1.341447616,0.121,-0.1,0.73,0.72,0.518
BYU,13,0.769,33.1,24.8,0.29,0,1.18,-0.31,0.97,1.66465728,0.134,0.7,0.47,0.16,0.4716
Ball State,26,0.462,24.1,28.4,-2.56,0,-0.52,-0.46,-0.84,1.152836773,0.106,0.6,0.8,0.76,0.4942
Baylor,7,0.857,31.6,18.3,3.28,0,0.55,0.85,0.9,1.24547902,0.122,0.8,0.59,0.85,0.5217
Boise State,26,0.583,29.2,19,2.02,0,0.15,0.48,0.09,1.127895847,0.124,0.7,0.75,0.42,0.485
Boston College,26,0.5,24.7,22.2,-1.5,0,-0.39,-0.02,-0.53,1.161934352,0.135,-0.2,0.84,0.66,0.5153
Bowling Green,26,0.333,21.4,30.7,-4.83,0,-1.4,-0.32,-0.89,1.258332477,0.14,0,0.59,0.78,0.5213
Buffalo,26,0.333,29.3,29.9,-5.58,0,-0.45,-1.09,-1.18,1.23741411,0.24,-0.5,0.52,0.56,0.5017
California,26,0.417,23.8,22.3,-2.07,0,-0.23,0.24,0.39,1.071712234,0.115,0.9,0.75,0.87,0.4905
Central Michigan,26,0.692,32.3,25.8,-4.57,0,-0.27,-0.26,0.15,1.093925329,0.147,0,0.84,0.79,0.5048
Charlotte,26,0.417,27.2,34,-5.93,0,0,-1.78,-1.29,1.161692329,0.295,-0.5,0.66,0.46,0.5371
Cincinnati,4,0.929,36.9,16.9,0.2,8,0.66,0.86,2.18,1.074151536,0.043,0.8,0.82,0.73,0.4457
Clemson,19,0.769,26.3,14.8,2.66,3,-0.23,1.04,0.67,1.229900966,0.057,0.1,0.46,0.92,0.4999
Coastal Carolina,26,0.846,40.9,21.6,-8.94,22,0.9,-0.56,1.73,1.541073795,0.124,0.3,0.7,0.91,0.5007
Colorado,26,0.333,18.8,26.7,1.65,0,-0.66,-0.12,-1.9,1.219354858,0.169,0.5,0.86,0.81,0.4732
Colorado State,26,0.25,23.7,28.3,-2.16,0,-0.43,-0.03,-0.16,1.233375897,0.141,-0.3,0.6,0.64,0.5363
Connecticut,26,0.083,15.6,38.5,-2.59,0,-1.29,-1.38,-2.52,0,0.208,-0.9,-1,-1,0.4823
Duke,26,0.25,22.8,39.8,-0.76,0,-0.99,-0.94,-2.25,1.358344079,0.306,-0.6,0.51,0.62,0.4927
East Carolina,26,0.583,29.7,26.3,-0.83,0,0.25,-0.02,-0.46,1.402876429,0.168,0.1,0.71,0.78,0.5153
Eastern Michigan,26,0.538,30.2,30,-4.8,0,-0.03,-0.95,-0.52,1.317514648,0.153,0.3,0.78,0.64,0.4903
Florida,26,0.462,30.7,26.8,2.14,13,0.25,0.47,0.66,1.427135986,0.15,-0.8,0.41,0.7,0.5035
Florida Atlantic,26,0.417,25.4,25.8,-3.9,0,-0.49,-0.19,-0.19,1.240249106,0.149,0.2,0.76,0.51,0.4464
Florida International,26,0.083,20.3,39.7,-4.86,0,-0.98,-1.59,-1.52,1.400385964,0.225,-1.1,0.48,0.64,0.4737
Florida State,26,0.417,27.6,26.5,2.22,0,0.36,0.22,0.79,1.078923511,0.145,-0.1,0.84,0.62,0.4641
Fresno State,26,0.769,33.4,20.5,-3.89,0,0.08,0.24,0.52,1.510383646,0.136,0.1,0.74,0.78,0.5184
Georgia,3,0.933,38.6,10.2,5.62,5,1.58,1.93,3.33,1.219706755,0.046,0.4,0.84,0.39,0.5042
Georgia Southern,26,0.25,20.3,31.4,-2.34,0,-0.76,-0.57,-1.4,0.966056302,0.24,-0.7,0.46,0.56,0.527
Georgia State,26,0.615,28.2,27.1,-2.98,0,-0.14,0.02,-0.01,1.520588047,0.114,0.5,0.85,0.76,0.4573
Georgia Tech,26,0.25,24,33.5,3.68,0,-0.17,-0.83,-1.16,1.149743004,0.216,-0.4,0.84,0.82,0.5075
Hawaii,26,0.462,28.8,31.4,-3.58,0,-0.54,-0.37,0.06,1.165249433,0.149,-0.2,0.55,0.77,0.4471
Houston,20,0.857,35.9,20.4,-3.26,0,0.16,0.44,0.67,1.453475491,0.134,0.6,0.71,0.65,0.5553
Illinois,26,0.417,20.2,21.9,4.61,0,-0.41,0.35,-0.43,1.630380903,0.1,0.4,0.8,0.61,0.4835
Indiana,26,0.167,17.3,33.3,8.63,17,-0.65,-0.17,-1.39,0.942435212,0.139,-1.3,0.8,0.81,0.5323
Iowa,15,0.714,23.4,19.2,5.1,18,-0.34,1.01,0.4,1.04550458,0.064,0.9,0.69,0.76,0.5047
Iowa State,26,0.538,31.3,20.5,3.16,7,0.8,0.51,1.34,1.599411944,0.087,-0.1,0.94,0.81,0.516
Kansas,26,0.167,20.8,42.2,3.47,0,-0.16,-1.57,-1.97,1.54824939,0.252,0.3,0.61,0.66,0.5496
Kansas State,26,0.615,27.5,21,2.43,0,0.83,0.57,1.14,2.306533175,0.072,0.3,0.81,0.64,0.4996
Kent State,26,0.5,33,36.3,-3.45,0,0.17,-1.44,-0.26,0.893147726,0.211,0.7,0.5,0.5,0.4118
Kentucky,22,0.769,32.3,21.7,0.5,0,0.94,0.29,1.19,1.296721383,0.093,-0.8,0.6,0.6,0.5752
LSU,26,0.462,26.5,26.6,5.28,16,0.31,0.2,-0.37,0.982486063,0.15,-0.4,0.82,0.76,0.4939
Liberty,26,0.615,33.6,21.5,-3.51,0,0.34,0.1,1.3,1.061708425,0.078,-0.9,0.95,0.79,0.5065
Louisiana Tech,26,0.25,28,34,-2.98,0,-0.36,-0.35,-0.28,1.208409402,0.178,-0.3,0.48,0.65,0.4812
Louisiana,23,0.929,31.1,18.5,-4.82,23,0.41,0.08,1.26,1.563835562,0.121,1.2,0.93,0.98,0.4967
Louisiana-Monroe,26,0.333,20.9,33.5,-1.99,0,-0.64,-0.6,-1.41,0.585109163,0.185,-0.1,0.64,0.55,0.4417
Louisville,26,0.462,31.6,27.3,2.88,0,0.67,-0.22,0.53,1.5218588,0.136,0,0.73,0.5,0.5294
Marshall,26,0.538,33,23.8,-3.17,0,0.18,0.16,0.94,1.605616905,0.106,-0.5,0.52,0.57,0.4523
Maryland,26,0.538,29.3,30.7,4.36,0,0.47,-0.6,-0.12,1.037144734,0.211,-0.7,0.86,0.85,0.4345
Massachusetts,26,0.083,16.3,43.1,-4.02,0,-1.15,-1.84,-2.83,1.318261826,0.29,-0.8,0.88,0.71,0.5092
Memphis,26,0.5,30.1,29.3,-1.94,0,0.26,-0.36,0.89,1.394803081,0.122,-0.5,0.63,0.73,0.4347
Miami (FL),26,0.583,34.1,28.4,3.26,14,0.34,0.05,0.46,1.558202788,0.143,-0.6,0.95,0.86,0.4078
Miami (OH),26,0.538,28.9,23.1,-4.42,0,-0.18,-0.25,0.56,1.476918034,0.145,0.5,0.75,0.45,0.486
Michigan,2,0.857,35.8,17.4,6.23,0,1.16,0.66,1.52,1.450533607,0.098,0.1,0.77,0.7,0.5266
Michigan State,10,0.846,31.8,25.3,5.26,0,0.58,0.14,0.34,1.300905585,0.131,0.3,0.8,0.59,0.493
Middle Tennessee State,26,0.538,29.8,25.7,-5.5,0,-0.67,-0.07,-0.54,0.822856794,0.111,0.5,0.56,0.7,0.5194
Minnesota,26,0.692,25.5,17.3,2.94,0,0.45,0.52,0.64,1.239794673,0.078,0.2,0.75,0.84,0.5914
Ole Miss,8,0.769,33.7,24.7,4.05,0,0.96,0.43,0.47,1.361136069,0.115,0.8,0.78,0.83,0.4754
Mississippi State,26,0.538,29.1,25.9,3.48,0,0.69,0.34,-0.16,2.045904585,0.137,-0.1,0.72,0.85,0.5669
Missouri,26,0.462,29.1,33.8,3.22,0,0.2,-0.75,-0.92,1.374389161,0.209,0.2,0.82,0.62,0.5221
Navy,26,0.333,20.1,28.3,4.3,0,-0.18,-0.14,-1.7,0.773038446,0.174,0.5,0.56,0.74,0.5763
Nebraska,26,0.25,27.9,22.7,6.6,0,0.6,0.61,0.88,0.909757043,0.076,-0.5,0.56,0.88,0.4538
Nevada,26,0.615,35.7,26.5,-1.99,0,0.34,-0.06,0.28,1.376839033,0.104,1.1,0.82,0.64,0.5032
New Mexico,26,0.25,12.2,28.4,-1.08,0,-1.45,-0.41,-2.03,1.33670147,0.185,-0.7,0.56,0.42,0.515
New Mexico State,26,0.167,22.6,40.4,-2.87,0,-0.65,-1.47,-3.08,0,0.342,0.1,-1,-1,0.547
North Carolina,26,0.462,35.2,32.1,2.15,10,0.72,-0.5,0.43,1.368425568,0.182,0,0.77,0.81,0.4911
North Carolina State,26,0.75,33.1,19.7,0.39,0,0.28,0.67,0.77,1.247685508,0.105,0.5,0.63,0.9,0.5195
North Texas,26,0.462,27.5,27.5,-4.13,0,-0.47,-0.27,-0.66,1.702996254,0.152,-0.2,0.67,0.68,0.4988
Northern Illinois,26,0.643,32.2,33.7,-3.04,0,0.1,-1.03,-1,1.240164815,0.217,-0.5,0.53,0.87,0.572
Northwestern,26,0.25,16.6,29,3.7,0,-0.5,-0.58,-1.5,1.150937862,0.172,-0.5,0.29,0.39,0.4517
Notre Dame,5,0.846,35.2,19.7,3.85,9,0.75,0.75,0.94,1.314489814,0.154,0.7,0.44,0.53,0.5462
Ohio,26,0.25,22.6,30.3,-5.48,0,-0.49,-1.09,-0.18,1.546829852,0.139,-0.7,0.55,0.7,0.5499
Ohio State,6,0.846,45.7,22.8,5.53,4,2.08,0.22,2.85,1.549692525,0.124,0.7,0.55,0.44,0.4715
Oklahoma,16,0.846,39.1,25.8,2.68,2,1.06,0,0.64,1.435324957,0.135,0.7,0.78,0.75,0.4468
Oklahoma State,9,0.857,31.1,18.1,4.42,0,0.51,1.24,1.03,1.328983998,0.121,0,0.65,0.8,0.4651
Old Dominion,26,0.462,27.6,27.8,-4.39,0,-0.83,-0.24,-0.53,0,0.159,-0.7,-1,-1,0.4677
Oregon,14,0.714,31.4,27,1.93,11,0.96,0.03,0.92,1.349529834,0.098,0.4,0.87,0.84,0.4905
Oregon State,26,0.538,31.2,25.8,0.09,0,0.72,-0.42,0.26,0.92384326,0.161,0,0.94,0.79,0.5232
Penn State,26,0.538,25,17.3,5.53,19,0.12,0.84,0.28,1.267856476,0.085,0.5,0.74,0.82,0.45
Pitt,12,0.786,41.4,23.6,0.32,0,0.34,0.55,1.28,0,0.127,0.5,0.82,0.64,0.4965
Purdue,26,0.692,29.1,22.4,5.81,0,0.62,0.45,0.43,1.165980631,0.196,-0.2,0.85,0.7,0.5338
Rice,26,0.333,21.5,36.2,-1.52,0,-0.58,-0.76,-1.93,1.150285555,0.263,-0.1,0.59,0.79,0.5533
Rutgers,26,0.385,19.7,25.6,4.06,0,-0.8,-0.04,-1.88,1.35496894,0.145,0.2,0.67,0.61,0.4807
SMU,26,0.667,38.4,28.4,-1.82,0,0.52,-0.31,0.29,1.288178997,0.177,-0.6,0.5,0.59,0.5105
San Diego State,24,0.857,27.4,19.8,-2.48,0,-0.52,0.64,0.18,1.25073488,0.1,0.5,0.61,0.42,0.5278
San Jose State,26,0.417,20,26.5,-3.19,0,-1.04,0.08,-0.52,0,0.083,-0.9,0.59,0.74,0.4595
South Alabama,26,0.417,24.9,26.4,-6.06,0,-0.52,-0.29,-0.27,1.400812529,0.133,0.7,0.79,0.67,0.5607
South Carolina,26,0.538,22.6,24,3.31,0,-0.46,0.3,-0.84,1.208744441,0.117,-0.1,0.54,0.4,0.5007
South Florida,26,0.167,23.2,34.7,1.59,0,-0.23,-1.11,-2.45,1.273930601,0.263,-0.4,0.51,0.68,0.5199
Southern Mississippi,26,0.25,17.7,27.9,-4.62,0,-1.56,-0.09,-2.22,1.438385373,0.198,-0.7,0.57,0.77,0.5324
Stanford,26,0.25,20.4,32.4,3.72,0,-0.22,-0.42,-1.18,1.533491089,0.161,-0.8,0.45,0.65,0.4841
Syracuse,26,0.417,24.9,26.3,1.74,0,0.05,-0.14,-0.04,1.056203433,0.121,-0.4,0.83,0.76,0.4917
Texas Christian,26,0.417,28.7,34.9,3.63,0,0.52,-1.01,-1.14,1.205332796,0.278,-0.3,0.87,0.7,0.485
Temple,26,0.25,16.3,37.5,-1.61,0,-0.92,-1.17,-1.32,1.115607574,0.17,-0.6,0.41,0.43,0.4348
Tennessee,26,0.538,39.3,29.1,3.5,0,1.14,-0.11,0.97,1.099127897,0.126,0,0.53,0.54,0.359
Texas,26,0.417,35.3,31.1,4.86,21,0.54,0.04,0.01,0.950444667,0.173,-0.3,0.53,0.69,0.4682
Texas A&M,25,0.667,29.3,15.9,1.27,6,0.21,0.9,1.14,1.438223718,0.074,-0.1,0.46,0.74,0.5075
Texas State,26,0.333,23.1,33,-5.7,0,-0.72,-0.83,-0.81,1.310494844,0.122,-0.8,0.82,0.74,0.4894
Texas Tech,26,0.538,30.3,30.2,2.26,0,0.7,-0.52,0.53,1.503323534,0.168,-0.1,0.63,0.74,0.5039
Toledo,26,0.538,33.4,21.8,-6.34,0,-0.25,0.25,1.4,1.368594122,0.11,0.8,0.5,0.71,0.4313
Troy,26,0.417,22.8,26.1,-4.03,0,-0.72,-0.34,-0.1,1.51707915,0.107,0,0.7,0.94,0.4653
Tulane,26,0.167,27.6,34,2.89,0,-0.07,-0.46,-0.48,1.170280775,0.152,-0.9,0.74,0.53,0.4413
Tulsa,26,0.538,26.4,26.6,-0.29,0,-0.23,0.26,0.2,1.432079764,0.12,-0.2,0.58,0.53,0.49
UAB,26,0.692,29.5,23.2,-2.09,0,0.42,-0.11,0.68,1.573154859,0.104,0.4,0.52,0.57,0.5042
UCF,26,0.692,31.9,24.5,-2.08,0,0.09,0.27,0.75,1.218495618,0.102,0.4,0.74,0.62,0.4345
UCLA,26,0.667,36.5,26.8,-0.25,0,0.99,-0.13,0.74,2.211436306,0.131,0.5,0.95,0.88,0.4619
Nevada-Las Vegas,26,0.167,20.8,32.8,0.32,0,-0.44,-0.6,-0.96,1.122289885,0.168,-0.5,0.46,0.79,0.4729
USC,26,0.333,28.7,31.8,1.8,15,0.37,-0.7,-0.92,1.288213364,0.192,-0.1,0.69,0.69,0.5291
UTEP,26,0.538,25.1,25.2,-5.61,0,-0.34,-0.21,0.97,1.353627941,0.124,-0.9,0.74,0.51,0.5497
UTSA,26,0.857,36.9,24.6,-3.21,0,0.7,-0.18,0.57,1.214374185,0.155,0.9,0.87,0.71,0.4941
Utah,11,0.714,36.1,22.6,1.62,24,1.09,0.51,1.31,1.330953418,0.098,0.1,0.81,0.91,0.5075
Utah State,26,0.786,32.6,24.4,-3.04,0,0.28,0.02,0.18,1.3864875,0.186,0,0.67,0.61,0.4374
Vanderbilt,26,0.167,15.8,35.8,1.3,0,-0.44,-0.73,-2.14,1.274888672,0.205,0,0.75,0.57,0.5127
Virginia,26,0.5,34.6,31.8,2.57,0,0.94,-0.78,-0.06,1.423123326,0.218,-0.4,0.72,0.61,0.5408
Virginia Tech,26,0.462,23.7,25.3,0.67,0,-0.17,-0.16,-0.35,1.246000819,0.151,0.3,0.69,0.67,0.5637
Wake Forest,17,0.786,41,28.9,0.99,0,1,-0.07,0.37,2.214425499,0.182,0.7,0.88,0.74,0.4636
Washington,26,0.333,21.5,22.7,-0.9,20,-0.33,0.35,0.29,0.970115229,0.077,-0.4,0.91,0.73,0.4987
Washington State,26,0.538,27.8,24.2,-0.02,0,0.05,0.45,0.14,1.384024139,0.085,0.8,0.88,0.86,0.5516
West Virginia,26,0.462,25.2,23.8,3.85,0,-0.03,0.34,-0.48,1.396473305,0.151,-0.6,0.82,0.81,0.5383
Western Kentucky,26,0.643,44.2,29.4,-2.61,0,1.03,-0.35,1.42,1.140750516,0.146,0.7,0.67,0.56,0.4608
Western Michigan,26,0.615,32.5,28.2,-2.62,0,0.41,-0.39,0.11,1.587676751,0.203,-0.2,0.65,0.5,0.6344
Wisconsin,26,0.692,25.4,16.2,6.8,12,0.3,1.18,1.29,1.171444431,0.085,0.1,0.84,0.82,0.5783
Wyoming,26,0.538,25.4,23.7,-4.52,0,-0.19,-0.37,0.42,1.19593386,0.108,-0.3,0.79,0.79,0.4727
Air Force,26,0.5,24.3,15,-4.99,0,0.37,0.22,1.2,1.058453405,0.102,-0.3,0.46,0.38,0.5322
Akron,26,0.167,17.2,41.3,5.52,0,-0.94,-1.38,-2.66,1.387420786,0.294,-1.3,0.89,0.66,0.5441
Alabama,1,1,48.5,19.4,9.72,3,2.47,0.5,2.96,1.279230773,0.127,1.2,0.55,0.6,0.5113
Appalachian State,26,0.75,33.8,20,-5.95,0,0.47,0.56,1.43,1.239501404,0.096,1.1,0.87,0.53,0.5216
Arizona,26,0,17.4,39.8,1.12,0,-0.79,-0.79,-2.11,1.111323101,0.208,-0.5,0.66,0.79,0.4816
Arizona State,26,0.5,40.3,23.3,-4,0,1.01,0.25,1.8,1.381406324,0.091,1.1,0.5,0.76,0.4533
Arkansas,26,0.3,25.7,34.9,11.39,0,0.04,-0.15,0.05,1.191489396,0.113,-0.6,0.63,0.68,0.3901
Arkansas State,26,0.364,32.9,37.2,-3.77,0,0.43,-0.77,-0.29,1.453833465,0.25,-0.4,0.77,0.54,0.5037
Army,26,0.75,26.8,14.8,-7.59,0,-0.06,0.39,-0.58,1.102670742,0.069,-0.3,0.61,0.44,0.5543
Auburn,26,0.545,25.1,24.7,9.52,11,0.26,-0.33,-0.23,1.197144416,0.071,0.2,0.61,0.6,0.4609
BYU,16,0.917,43.5,15.3,-3.89,0,2.01,0.76,4.1,1.36728138,0.07,0,0.77,0.62,0.4891
Ball State,26,0.875,34.3,25.8,8.91,0,1,0.45,-0.01,1.180572835,0.149,0.7,0.68,0.81,0.4589
Baylor,26,0.222,23.3,29.2,5.81,0,-0.28,0.27,-1.17,1.277833434,0.15,0.8,0.7,0.32,0.4798
Boise State,26,0.714,33.9,27.1,-3.02,0,0.27,0.02,-0.22,1.16972429,0.108,0.1,0.54,0.75,0.5517
Boston College,26,0.545,27.8,28.4,-0.59,0,0.16,-0.44,-0.69,1.276954791,0.171,0.2,0.54,0.81,0.5285
Bowling Green,26,0,11.4,45,6.49,0,-1.6,-1.31,-1.72,1.142493311,0.222,-0.5,0.45,0.49,0.401
Buffalo,26,0.857,43.4,21.9,1.73,0,1.51,0.42,2.2,1.362890686,0.099,0.6,0.8,0.62,0.5432
California,26,0.25,20.3,26.5,-2.36,0,-0.7,0.32,-0.78,1.061604972,0.13,0.5,0.93,0.5,0.5599
Central Michigan,26,0.5,31.3,30.2,8.26,0,0,0.43,-0.58,1.262839696,0.16,-0.7,0.7,0.77,0.4839
Charlotte,26,0.333,27,32.5,-9.41,0,-0.25,-1.18,-1.09,1.342509705,0.21,-0.1,0.77,0.46,0.5285
Cincinnati,8,0.9,37.5,16.8,-1.28,20,0.49,1.03,1.46,1.377099273,0.094,0.4,0.69,0.76,0.5206
Clemson,2,0.833,43.5,20.2,1.07,1,1.16,1.02,1.59,1.352434402,0.113,0.9,0.6,0.51,0.5183
Coastal Carolina,12,0.917,37.2,20.3,-2.86,0,1.35,0.65,1.18,1.268790165,0.106,-0.1,0.88,0.62,0.531
Colorado,26,0.667,28.5,31.7,-0.66,0,0.09,-0.01,-0.64,1.318322207,0.188,0.3,0.36,0.62,0.5342
Colorado State,26,0.25,22.3,35.8,-2.56,0,-0.28,-0.54,-0.06,1.370231602,0.068,-0.9,0.76,0.63,0.4597
Connecticut,26,0,0,0,0,0,-1,-1,-2.52,-1,0.208,-0.5,-1,-1,-1
Duke,26,0.182,24.8,38.1,-1.6,0,-0.92,-0.59,-1.35,1.315792948,0.179,-1,0.56,0.73,0.4905
East Carolina,26,0.333,30.2,35.4,-1.98,0,-0.35,-0.14,-0.17,1.229692096,0.132,-0.1,0.87,0.79,0.5021
Eastern Michigan,26,0.333,33.2,36,9.13,0,0.49,-0.43,-0.39,1.302981147,0.176,0.4,0.4,0.49,0.5088
Florida,7,0.667,39.8,30.8,8.02,8,1.32,-0.07,1.81,1.313103243,0.14,0.1,0.63,0.67,0.5242
Florida Atlantic,26,0.556,18.9,17.4,-10.02,0,-1.04,0.16,0.08,1.287532946,0.103,1.5,0.59,0.43,0.474
Florida International,26,0,22.4,32.4,-10.38,0,-1.01,-0.9,-1.45,1.347041039,0.17,0.2,0.3,0.59,0.409
Florida State,26,0.333,25.8,36,-1.54,0,-0.33,-0.95,-1.46,1.333009829,0.207,-0.3,0.63,0.83,0.4729
Fresno State,26,0.5,32.8,30,-11.74,0,-0.08,-0.37,0.05,1.368985478,0.174,0.5,0.5,0.62,0.5358
Georgia,9,0.8,32.3,20,8.53,4,0.65,0.66,1.28,1.315135429,0.131,0.2,0.5,0.8,0.4811
Georgia Southern,26,0.615,27.2,20.8,-6.18,0,0.01,0.44,0.96,1.135538924,0.106,0.6,0.8,0.59,0.5671
Georgia State,26,0.6,33.3,31.7,-3.86,0,0.22,-0.01,0.14,1.341427412,0.177,0,0.53,0.83,0.5099
Georgia Tech,26,0.3,23.9,36.8,0.05,0,-0.29,-0.46,-0.35,1.36423773,0.144,-0.5,0.74,0.94,0.436
Hawaii,26,0.556,26.2,27.6,-4.2,0,0.12,-0.13,-0.24,1.165249433,0.149,-0.6,0.44,0.6,0.459
Houston,26,0.375,30,32,0.53,0,0.03,-0.05,-0.49,1.296774579,0.152,-0.5,0.73,0.93,0.5551
Illinois,26,0.25,20.1,34.9,4.36,0,-0.3,-0.89,-1.48,1.369413517,0.16,0.8,0.86,0.71,0.4581
Indiana,11,0.75,28.9,20.3,4.46,0,-0.11,0.87,0.06,1.235134722,0.117,0.2,0.74,0.82,0.5165
Iowa,15,0.75,31.8,16,1.77,24,0.02,0.79,1.11,1.100979583,0.043,0.7,0.5,0.56,0.5187
Iowa State,10,0.75,32.9,21.4,5.43,23,0.99,0.65,0.95,1.216536548,0.132,-0.2,0.62,0.73,0.558
Kansas,26,0,15.8,46,7.25,0,-0.95,-0.54,-3.02,1.273603685,0.227,-1,0.41,0.44,0.513
Kansas State,26,0.4,26.6,32.2,4.5,0,0.17,-0.4,-0.37,1.38956315,0.161,-0.1,0.59,0.63,0.4917
Kent State,26,0.75,49.8,38,-0.74,0,1.83,-1.3,1.11,1.30177877,0.238,0.5,0.68,0.57,0.4974
Kentucky,26,0.455,21.8,25.9,6.94,0,-0.42,0.09,-0.42,1.046775372,0.153,-0.2,0.68,0.78,0.5637
LSU,26,0.5,32,34.9,7.54,6,-0.33,-0.07,-1.9,1.188476154,0.273,0.8,0.3,0.54,0.4829
